GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
amvitech-backend,default,BhabaniKT,99,0,0,0,5,0,2,0,2,0
amvitech-backend,com.amvitech.welcome,AmvitechApplication,9,5,0,0,4,2,3,2,3,2
